State,Square Energy,Circle Energy,Hexagon Energy
1,9.908595523207413,9.103703000676623,9.319304813970012
2,24.841554229799673,23.208221038736752,23.713348306462812
3,24.93594116485802,23.214022692453923,23.72146110545556
4,40.09942654846391,41.859389439838026,42.61711310465519
5,50.1162271172705,42.00006783836583,42.76072768390141
6,50.12326627110127,48.547913259635315,49.44859432982523
7,65.316519129896,65.14193125522135,63.003877785656876
8,66.12326989955123,65.1475665198065,69.79001689256842
9,85.97043438371749,79.06348045814775,79.9512701937769
10,86.0233495580476,79.09627326219163,80.00159808605369
